,NPV,CAPEX,OPEX,revenue,revenue_coproduct,IRR,energy_generation,pathway,biodiesel_price,biodiesel_yield
0,-40475928.10847266,1213391182.0837877,80196254.91371392,283674789.5256,236190845.88,9.319644171899743,346598128.79999995,"['Ip[milling]', 'Ip[DSA]', 'Ip[burn]']",30,0.01
1,-40475928.10847266,1213391182.0837877,80196254.91371392,283674789.5256,236190845.88,9.319644171899743,346598128.79999995,"['Ip[milling]', 'Ip[DSA]', 'Ip[burn]']",30,0.02
2,-40475928.10847266,1213391182.0837877,80196254.91371392,283674789.5256,236190845.88,9.319644171899743,346598128.79999995,"['Ip[milling]', 'Ip[DSA]', 'Ip[burn]']",30,0.03
3,-40475928.10847266,1213391182.0837877,80196254.91371392,283674789.5256,236190845.88,9.319644171899743,346598128.79999995,"['Ip[milling]', 'Ip[DSA]', 'Ip[burn]']",30,0.04
4,-40475928.10847266,1213391182.0837877,80196254.91371392,283674789.5256,236190845.88,9.319644171899743,346598128.79999995,"['Ip[milling]', 'Ip[DSA]', 'Ip[burn]']",30,0.05
5,-40475928.10847266,1213391182.0837877,80196254.91371392,283674789.5256,236190845.88,9.319644171899743,346598128.79999995,"['Ip[milling]', 'Ip[DSA]', 'Ip[burn]']",30,0.060000000000000005
6,-40475928.10847266,1213391182.0837877,80196254.91371392,283674789.5256,236190845.88,9.319644171899743,346598128.79999995,"['Ip[milling]', 'Ip[DSA]', 'Ip[burn]']",30,0.06999999999999999
7,-40475928.10847266,1213391182.0837877,80196254.91371392,283674789.5256,236190845.88,9.319644171899743,346598128.79999995,"['Ip[milling]', 'Ip[DSA]', 'Ip[burn]']",30,0.08
8,-40475928.10847266,1213391182.0837877,80196254.91371392,283674789.5256,236190845.88,9.319644171899743,346598128.79999995,"['Ip[milling]', 'Ip[DSA]', 'Ip[burn]']",30,0.09
9,-40475928.10847266,1213391182.0837877,80196254.91371392,283674789.5256,236190845.88,9.319644171899743,346598128.79999995,"['Ip[milling]', 'Ip[DSA]', 'Ip[burn]']",30,0.09999999999999999
10,-40475928.10847266,1213391182.0837877,80196254.91371392,283674789.5256,236190845.88,9.319644171899743,346598128.79999995,"['Ip[milling]', 'Ip[DSA]', 'Ip[burn]']",30,0.11
11,-40475928.10847266,1213391182.0837877,80196254.91371392,283674789.5256,236190845.88,9.319644171899743,346598128.79999995,"['Ip[milling]', 'Ip[DSA]', 'Ip[burn]']",30,0.12
